,dispatch_date,dispatch_time,location_block,crime_category,point_x,point_y
15520,2023-01-05,13:09:00,2300 BLOCK S 8TH ST,Rape,-75.16048181,39.91945229
15739,2023-01-04,23:20:00,3500 BLOCK WELSH RD,Rape,-75.02592138,40.04466153
15837,2023-01-04,18:52:00,1700 BLOCK Ben Franklin Parkway>,Rape,-75.16818745,39.9566638
15990,2023-01-04,13:39:00,2000 BLOCK CHANCELLOR ST,Rape,-75.17500884,39.94998866
16074,2023-01-04,11:27:00,2000 BLOCK S Salford St,Rape,-75.22859951,39.93236655
16235,2023-01-03,23:36:00,5600 BLOCK Gainor Rd,Rape,-75.235707,39.98868526
16236,2023-01-03,23:34:00,2300 BLOCK PENNSYLVANIA AV,Rape,-75.17629873,39.96452047
16359,2023-01-03,18:00:00,6800 BLOCK SOUDER ST,Rape,-75.06895076,40.04289044
16387,2023-01-03,16:56:00,2000 BLOCK N PARK AV,Rape,-75.15546117,39.98382466
16916,2023-01-02,16:02:00,600 BLOCK N BROAD ST,Rape,-75.16051409,39.96455478
17203,2023-01-01,22:10:00,4200 BLOCK FRANKFORD AV,Rape,-75.08990167,40.00911757
17529,2023-01-01,00:38:00,100 BLOCK E GIRARD AV,Rape,-75.13419401,39.96862776
